Date,Unit,Coal Used (Ton),SFC (kg/MWh),Heat Rate (kcal/kWh),Boiler Efficiency (%)
2025-01-01,Unit 1,881.39,451.32,2892.43,88.37
2025-01-01,Unit 2,1044.59,456.89,2997.86,88.04
2025-01-01,Unit 3,993.55,457.19,2952.96,87.8
2025-01-02,Unit 1,1035.84,451.64,2931.45,87.62
2025-01-02,Unit 2,849.21,456.14,2945.56,88.17
2025-01-02,Unit 3,1084.19,456.2,2939.4,87.08
2025-01-03,Unit 1,1069.19,459.63,3023.73,87.25
2025-01-03,Unit 2,946.36,454.49,2935.61,88.25
2025-01-03,Unit 3,962.75,456.12,2950.96,88.2
2025-01-04,Unit 1,1054.22,458.96,2959.82,87.49
2025-01-04,Unit 2,1006.08,459.67,2966.74,87.75
2025-01-04,Unit 3,1087.36,459.0,2950.18,87.4
2025-01-05,Unit 1,1117.43,460.26,2976.42,87.58
2025-01-05,Unit 2,1016.24,449.63,2917.81,88.13
2025-01-05,Unit 3,1088.85,459.24,2990.71,87.28
2025-01-06,Unit 1,1016.85,459.07,2952.48,88.19
2025-01-06,Unit 2,914.14,459.69,2969.76,87.35
2025-01-06,Unit 3,910.8,461.66,2979.32,89.43
2025-01-07,Unit 1,962.45,452.35,2934.82,88.0
2025-01-07,Unit 2,1093.86,449.98,2907.66,88.63
2025-01-07,Unit 3,897.93,454.59,2924.68,87.49
2025-01-08,Unit 1,877.97,451.93,2920.95,87.53
2025-01-08,Unit 2,966.56,461.88,2978.52,88.06
2025-01-08,Unit 3,1082.4,453.79,2941.94,87.32
2025-01-09,Unit 1,885.7,460.62,3009.91,88.42
2025-01-09,Unit 2,838.73,451.27,2882.74,87.19
2025-01-09,Unit 3,924.81,443.23,2908.58,87.81
2025-01-10,Unit 1,1085.75,456.65,2965.47,88.08
2025-01-10,Unit 2,1091.49,457.22,2937.93,88.47
2025-01-10,Unit 3,914.89,464.52,3004.32,87.75
2025-01-11,Unit 1,1025.59,455.47,2946.21,87.96
2025-01-11,Unit 2,991.74,454.73,2977.32,88.44
2025-01-11,Unit 3,815.55,451.33,2900.3,88.86
2025-01-12,Unit 1,898.91,450.56,2920.76,87.94
2025-01-12,Unit 2,845.54,456.11,2955.26,87.2
2025-01-12,Unit 3,979.22,455.31,2961.89,87.56
2025-01-13,Unit 1,1016.29,463.42,3010.09,88.89
2025-01-13,Unit 2,975.62,452.05,2906.54,88.02
2025-01-13,Unit 3,1040.38,454.49,2951.9,87.14
2025-01-14,Unit 1,996.18,460.6,2962.0,87.71
2025-01-14,Unit 2,981.69,447.57,2936.11,87.87
2025-01-14,Unit 3,1092.19,457.41,2947.58,88.21
2025-01-15,Unit 1,1008.33,463.56,2988.84,88.12
2025-01-15,Unit 2,1111.89,462.41,2992.68,86.98
2025-01-15,Unit 3,986.19,445.86,2919.25,87.66
2025-01-16,Unit 1,981.27,449.78,2891.71,88.11
2025-01-16,Unit 2,856.07,449.89,2927.18,87.33
2025-01-16,Unit 3,989.56,455.83,2967.18,88.08
2025-01-17,Unit 1,865.07,454.77,2943.6,86.53
2025-01-17,Unit 2,1083.38,456.38,2934.06,87.12
2025-01-17,Unit 3,986.64,444.4,2908.94,87.89
2025-01-18,Unit 1,1091.43,455.05,2959.84,87.31
2025-01-18,Unit 2,1081.5,449.63,2911.91,86.52
2025-01-18,Unit 3,1110.23,455.07,2957.12,88.19
2025-01-19,Unit 1,1007.53,454.01,2937.73,87.54
2025-01-19,Unit 2,1015.54,455.95,2924.16,87.2
2025-01-19,Unit 3,804.36,448.42,2920.62,88.26
2025-01-20,Unit 1,1007.71,457.41,2954.72,88.04
2025-01-20,Unit 2,869.9,449.77,2917.43,87.47
2025-01-20,Unit 3,1062.53,449.36,2924.38,88.3
2025-01-21,Unit 1,1031.43,458.92,2973.33,87.12
2025-01-21,Unit 2,886.07,456.69,2949.65,87.72
2025-01-21,Unit 3,1051.49,446.69,2885.9,87.64
2025-01-22,Unit 1,968.83,454.93,2956.34,87.81
2025-01-22,Unit 2,1063.26,449.12,2940.86,87.6
2025-01-22,Unit 3,927.32,456.47,2993.8,88.97
2025-01-23,Unit 1,1087.22,461.12,2994.63,88.56
2025-01-23,Unit 2,1033.86,454.25,2956.9,88.07
2025-01-23,Unit 3,959.41,453.86,2958.18,87.69
2025-01-24,Unit 1,841.65,441.74,2857.4,87.47
2025-01-24,Unit 2,1073.72,457.69,2944.11,87.86
2025-01-24,Unit 3,849.01,456.91,2944.48,88.11
2025-01-25,Unit 1,981.75,462.92,2993.04,88.06
2025-01-25,Unit 2,1012.43,446.69,2912.69,87.63
2025-01-25,Unit 3,1028.37,465.13,2988.69,87.75
2025-01-26,Unit 1,1043.33,453.45,2944.92,87.0
2025-01-26,Unit 2,1008.23,449.06,2926.74,87.92
2025-01-26,Unit 3,1003.53,458.94,2983.78,87.49
2025-01-27,Unit 1,884.91,455.28,2971.4,87.99
2025-01-27,Unit 2,1079.86,448.13,2909.09,87.09
2025-01-27,Unit 3,1086.64,455.24,2951.04,87.72
2025-01-28,Unit 1,889.86,455.9,2953.78,88.2
2025-01-28,Unit 2,884.93,453.33,2932.29,87.47
2025-01-28,Unit 3,933.17,452.69,2941.49,86.89
2025-01-29,Unit 1,777.22,454.18,2931.4,87.29
2025-01-29,Unit 2,981.2,455.07,2952.73,88.84
2025-01-29,Unit 3,958.17,456.64,2973.81,87.74
2025-01-30,Unit 1,948.33,457.64,2975.46,86.91
2025-01-30,Unit 2,977.78,451.31,2939.63,87.83
2025-01-30,Unit 3,1076.72,455.6,2925.85,88.38
2025-01-31,Unit 1,1089.74,456.87,2960.71,88.5
2025-01-31,Unit 2,936.91,451.88,2951.84,87.24
2025-01-31,Unit 3,919.31,454.43,2944.78,87.09
2025-02-01,Unit 1,1068.37,462.5,2986.91,86.94
2025-02-01,Unit 2,959.79,442.1,2861.75,88.26
2025-02-01,Unit 3,1068.7,460.77,2975.53,87.82
2025-02-02,Unit 1,988.75,458.52,2993.13,88.63
2025-02-02,Unit 2,866.51,460.24,2996.47,88.08
2025-02-02,Unit 3,948.97,463.32,2968.21,88.43
2025-02-03,Unit 1,1064.46,467.45,3009.61,87.34
2025-02-03,Unit 2,938.83,457.39,2962.36,88.75
2025-02-03,Unit 3,1103.0,459.24,2957.9,86.98
2025-02-04,Unit 1,1094.97,453.3,2939.16,88.44
2025-02-04,Unit 2,787.16,453.51,2959.17,87.38
2025-02-04,Unit 3,843.53,454.53,2935.08,88.11
2025-02-05,Unit 1,1068.39,451.2,2954.75,89.18
2025-02-05,Unit 2,953.93,456.59,2950.76,86.33
2025-02-05,Unit 3,861.76,459.97,2968.92,87.54
2025-02-06,Unit 1,1072.19,453.79,2937.21,87.84
2025-02-06,Unit 2,1012.07,458.59,2983.04,87.65
2025-02-06,Unit 3,1025.24,454.84,2960.0,88.18
2025-02-07,Unit 1,962.43,451.06,2915.43,86.51
2025-02-07,Unit 2,905.59,450.35,2889.27,89.17
2025-02-07,Unit 3,855.98,460.13,2987.05,87.97
2025-02-08,Unit 1,907.8,462.51,2995.38,87.92
2025-02-08,Unit 2,1111.45,459.36,2963.68,88.11
2025-02-08,Unit 3,1063.52,456.65,2996.45,88.05
2025-02-09,Unit 1,1000.89,448.83,2931.19,87.46
2025-02-09,Unit 2,1078.62,452.55,2932.43,88.07
2025-02-09,Unit 3,1117.46,460.32,2982.79,87.34
2025-02-10,Unit 1,1077.86,451.19,2921.2,87.07
2025-02-10,Unit 2,977.41,454.37,2965.24,87.07
2025-02-10,Unit 3,1092.07,453.44,2944.76,86.95
2025-02-11,Unit 1,773.24,454.43,2951.6,88.4
2025-02-11,Unit 2,860.25,447.4,2903.75,88.29
2025-02-11,Unit 3,992.75,444.06,2917.46,88.45
2025-02-12,Unit 1,1006.96,454.04,2945.64,87.79
