Date,Unit,GAR,Moisture (%),Ash (%),Sulfur (%),HGI
2025-01-01,Unit 1,4361.2,28.81,6.03,0.404,46.9
2025-01-01,Unit 2,4332.9,27.41,5.99,0.356,46.7
2025-01-01,Unit 3,4326.0,28.76,6.29,0.401,46.0
2025-01-02,Unit 1,4358.4,26.43,5.8,0.426,49.5
2025-01-02,Unit 2,4331.6,28.85,6.3,0.367,48.6
2025-01-02,Unit 3,4316.4,27.75,6.3,0.449,47.0
2025-01-03,Unit 1,4308.5,27.94,6.49,0.444,51.0
2025-01-03,Unit 2,4293.2,28.83,6.47,0.421,46.9
2025-01-03,Unit 3,4370.1,28.93,6.28,0.429,50.7
2025-01-04,Unit 1,4315.2,27.59,5.81,0.508,45.8
2025-01-04,Unit 2,4323.5,27.88,5.95,0.395,50.2
2025-01-04,Unit 3,4363.5,29.58,6.79,0.362,46.5
2025-01-05,Unit 1,4314.8,28.06,6.05,0.448,51.4
2025-01-05,Unit 2,4371.5,27.27,6.39,0.415,47.2
2025-01-05,Unit 3,4404.6,30.03,6.1,0.414,45.1
2025-01-06,Unit 1,4322.8,28.19,6.29,0.399,51.7
2025-01-06,Unit 2,4396.3,27.34,6.49,0.432,49.6
2025-01-06,Unit 3,4346.9,28.27,6.28,0.445,48.0
2025-01-07,Unit 1,4409.2,28.32,5.67,0.413,48.7
2025-01-07,Unit 2,4312.0,27.52,6.17,0.368,45.3
2025-01-07,Unit 3,4385.3,27.64,6.33,0.398,44.4
2025-01-08,Unit 1,4343.4,27.45,6.22,0.408,51.8
2025-01-08,Unit 2,4270.3,28.34,6.04,0.443,47.9
2025-01-08,Unit 3,4345.7,27.61,6.68,0.407,46.5
2025-01-09,Unit 1,4331.0,27.48,6.73,0.432,45.5
2025-01-09,Unit 2,4400.7,27.43,6.33,0.443,46.1
2025-01-09,Unit 3,4415.3,26.86,6.07,0.424,50.9
2025-01-10,Unit 1,4363.8,28.74,6.38,0.451,45.9
2025-01-10,Unit 2,4304.2,28.47,5.94,0.399,47.2
2025-01-10,Unit 3,4305.0,29.03,6.19,0.369,45.9
2025-01-11,Unit 1,4278.5,27.02,6.0,0.455,51.1
2025-01-11,Unit 2,4329.1,28.76,6.13,0.446,47.5
2025-01-11,Unit 3,4398.2,27.04,6.43,0.44,46.6
2025-01-12,Unit 1,4366.5,27.55,5.95,0.427,48.5
2025-01-12,Unit 2,4321.3,27.83,6.29,0.464,49.7
2025-01-12,Unit 3,4362.9,27.34,6.36,0.466,47.8
2025-01-13,Unit 1,4368.9,28.04,6.88,0.432,47.1
2025-01-13,Unit 2,4291.9,28.63,6.15,0.379,50.1
2025-01-13,Unit 3,4379.7,29.18,6.41,0.416,47.9
2025-01-14,Unit 1,4286.2,27.52,6.2,0.421,47.1
2025-01-14,Unit 2,4378.5,27.1,5.74,0.458,48.7
2025-01-14,Unit 3,4432.4,29.4,6.13,0.449,49.3
2025-01-15,Unit 1,4382.9,29.64,6.28,0.406,43.9
2025-01-15,Unit 2,4342.2,29.14,6.34,0.438,45.0
2025-01-15,Unit 3,4443.7,27.12,6.68,0.396,49.1
2025-01-16,Unit 1,4374.6,27.58,5.82,0.381,48.1
2025-01-16,Unit 2,4348.3,27.28,6.24,0.479,47.2
2025-01-16,Unit 3,4348.6,28.05,6.26,0.468,47.5
2025-01-17,Unit 1,4361.7,27.61,6.28,0.381,44.9
2025-01-17,Unit 2,4452.9,27.5,6.32,0.469,51.0
2025-01-17,Unit 3,4349.6,26.69,6.35,0.414,47.6
2025-01-18,Unit 1,4372.7,28.67,5.68,0.499,47.1
2025-01-18,Unit 2,4341.5,28.11,6.43,0.42,49.8
2025-01-18,Unit 3,4375.1,27.19,6.92,0.402,47.6
2025-01-19,Unit 1,4353.5,27.88,6.55,0.428,48.7
2025-01-19,Unit 2,4361.6,29.66,6.46,0.41,50.4
2025-01-19,Unit 3,4350.7,29.34,6.3,0.413,49.7
2025-01-20,Unit 1,4315.0,27.68,6.35,0.457,49.9
2025-01-20,Unit 2,4410.4,28.32,6.1,0.445,50.6
2025-01-20,Unit 3,4405.4,28.81,5.71,0.428,45.9
2025-01-21,Unit 1,4341.9,28.04,6.73,0.438,48.4
2025-01-21,Unit 2,4357.4,28.08,6.17,0.443,53.1
2025-01-21,Unit 3,4384.1,26.14,6.13,0.439,50.5
2025-01-22,Unit 1,4302.2,28.22,5.98,0.447,46.7
2025-01-22,Unit 2,4354.4,28.9,6.03,0.393,46.3
2025-01-22,Unit 3,4292.7,29.17,6.29,0.455,50.1
2025-01-23,Unit 1,4336.3,27.7,5.78,0.397,45.8
2025-01-23,Unit 2,4329.0,28.39,5.83,0.441,47.5
2025-01-23,Unit 3,4306.8,28.49,6.38,0.411,48.7
2025-01-24,Unit 1,4402.6,26.6,6.43,0.378,50.5
2025-01-24,Unit 2,4336.6,29.08,6.85,0.44,46.8
2025-01-24,Unit 3,4430.2,28.57,6.06,0.436,51.2
2025-01-25,Unit 1,4333.3,29.16,6.31,0.416,47.5
2025-01-25,Unit 2,4370.8,27.91,6.19,0.386,48.6
2025-01-25,Unit 3,4265.2,27.72,5.89,0.367,49.5
2025-01-26,Unit 1,4374.9,26.74,5.98,0.413,47.9
2025-01-26,Unit 2,4372.4,28.86,6.45,0.434,47.9
2025-01-26,Unit 3,4306.8,28.84,6.19,0.44,48.1
2025-01-27,Unit 1,4315.8,30.19,6.22,0.45,43.8
2025-01-27,Unit 2,4355.8,29.37,6.5,0.414,45.8
2025-01-27,Unit 3,4322.9,26.78,6.12,0.4,51.5
2025-01-28,Unit 1,4348.6,28.19,6.67,0.39,50.0
2025-01-28,Unit 2,4356.7,28.39,6.29,0.494,46.7
2025-01-28,Unit 3,4406.8,27.54,5.95,0.434,46.9
2025-01-29,Unit 1,4342.8,26.59,6.18,0.414,48.3
2025-01-29,Unit 2,4386.3,28.03,6.76,0.445,50.2
2025-01-29,Unit 3,4339.4,27.79,5.85,0.398,46.1
2025-01-30,Unit 1,4322.4,28.4,6.33,0.432,47.5
2025-01-30,Unit 2,4380.1,26.92,6.65,0.426,48.5
2025-01-30,Unit 3,4357.0,28.33,6.14,0.408,47.3
2025-01-31,Unit 1,4281.8,29.11,6.54,0.406,47.8
2025-01-31,Unit 2,4368.5,28.46,6.05,0.409,44.3
2025-01-31,Unit 3,4366.1,28.55,5.85,0.497,45.6
2025-02-01,Unit 1,4357.9,28.57,6.17,0.463,46.6
2025-02-01,Unit 2,4383.6,27.48,6.07,0.363,47.1
2025-02-01,Unit 3,4311.3,27.96,6.2,0.385,51.0
2025-02-02,Unit 1,4331.2,28.86,6.39,0.391,48.7
2025-02-02,Unit 2,4400.6,28.45,6.1,0.492,49.3
2025-02-02,Unit 3,4341.1,27.03,6.4,0.467,47.4
2025-02-03,Unit 1,4327.5,27.93,5.81,0.456,47.0
2025-02-03,Unit 2,4369.3,27.66,6.54,0.412,50.8
2025-02-03,Unit 3,4333.6,28.06,6.67,0.374,50.6
2025-02-04,Unit 1,4366.1,27.45,6.3,0.411,44.7
2025-02-04,Unit 2,4303.8,28.26,6.31,0.417,49.6
2025-02-04,Unit 3,4266.2,28.2,6.12,0.457,49.3
2025-02-05,Unit 1,4370.2,26.28,6.41,0.449,50.2
2025-02-05,Unit 2,4356.0,27.62,6.01,0.404,51.4
2025-02-05,Unit 3,4265.1,28.23,5.88,0.423,48.1
2025-02-06,Unit 1,4371.9,27.27,6.19,0.48,49.9
2025-02-06,Unit 2,4306.9,28.53,5.87,0.469,46.5
2025-02-06,Unit 3,4372.6,28.28,5.69,0.392,50.1
2025-02-07,Unit 1,4343.1,28.01,5.87,0.377,51.2
2025-02-07,Unit 2,4415.7,28.81,5.99,0.488,50.0
2025-02-07,Unit 3,4390.9,29.95,6.62,0.437,49.2
2025-02-08,Unit 1,4346.1,26.87,6.06,0.407,48.9
2025-02-08,Unit 2,4360.2,27.62,6.29,0.418,48.2
2025-02-08,Unit 3,4317.1,27.88,6.06,0.455,46.0
2025-02-09,Unit 1,4396.0,27.76,6.12,0.443,49.5
2025-02-09,Unit 2,4359.6,27.37,6.87,0.383,49.0
2025-02-09,Unit 3,4288.5,28.21,6.64,0.369,48.6
2025-02-10,Unit 1,4372.8,29.3,6.09,0.414,46.8
2025-02-10,Unit 2,4359.4,26.76,6.3,0.445,44.0
2025-02-10,Unit 3,4321.8,27.96,6.37,0.422,49.1
2025-02-11,Unit 1,4319.9,28.63,6.01,0.428,49.6
2025-02-11,Unit 2,4322.7,27.06,5.74,0.384,48.1
2025-02-11,Unit 3,4417.6,29.51,6.21,0.346,49.8
2025-02-12,Unit 1,4323.3,28.79,6.15,0.397,49.1
2025-02-12,Unit 2,4349.0,28.65,6.62,0.437,48.0
2025-02-12,Unit 3,4352.3,28.42,6.18,0.435,48.1
2025-02-13,Unit 1,4297.5,26.75,5.8,0.428,47.8
2025-02-13,Unit 2,4321.6,28.68,6.36,0.392,51.0
2025-02-13,Unit 3,4388.0,28.34,6.46,0.44,51.4
2025-02-14,Unit 1,4327.3,27.69,6.61,0.408,51.5
2025-02-14,Unit 2,4302.2,28.41,5.78,0.397,48.0
2025-02-14,Unit 3,4367.7,28.96,6.11,0.451,48.6
2025-02-15,Unit 1,4379.7,28.24,6.59,0.467,48.1
2025-02-15,Unit 2,4335.4,28.15,5.8,0.391,50.4
2025-02-15,Unit 3,4389.8,27.39,5.77,0.465,47.4
2025-02-16,Unit 1,4337.7,28.55,6.18,0.388,47.9
2025-02-16,Unit 2,4316.8,28.16,6.46,0.356,45.8
2025-02-16,Unit 3,4301.5,28.91,6.1,0.436,52.3
2025-02-17,Unit 1,4316.9,28.73,6.72,0.429,48.6
2025-02-17,Unit 2,4382.1,28.68,5.94,0.427,50.0
2025-02-17,Unit 3,4371.6,28.27,5.94,0.401,48.7
2025-02-18,Unit 1,4415.6,30.1,6.27,0.427,49.7
2025-02-18,Unit 2,4307.1,28.0,6.67,0.382,46.6
2025-02-18,Unit 3,4389.2,27.8,6.74,0.422,47.6
2025-02-19,Unit 1,4310.3,28.31,6.52,0.445,48.2
2025-02-19,Unit 2,4326.7,27.86,6.39,0.441,46.2
2025-02-19,Unit 3,4384.0,28.7,6.31,0.421,49.0
2025-02-20,Unit 1,4294.0,25.76,6.41,0.417,49.8
2025-02-20,Unit 2,4379.1,27.86,6.1,0.419,49.8
2025-02-20,Unit 3,4321.3,27.61,6.52,0.481,45.4
2025-02-21,Unit 1,4396.4,27.7,6.36,0.458,48.8
2025-02-21,Unit 2,4362.3,27.89,5.95,0.415,48.9
2025-02-21,Unit 3,4296.5,28.44,6.13,0.455,48.8
2025-02-22,Unit 1,4337.9,28.18,6.22,0.419,48.0
2025-02-22,Unit 2,4364.3,27.33,6.05,0.399,48.2
2025-02-22,Unit 3,4298.7,27.26,6.58,0.406,46.4
2025-02-23,Unit 1,4364.5,29.09,6.56,0.436,49.5
2025-02-23,Unit 2,4383.4,27.66,6.12,0.435,46.9
2025-02-23,Unit 3,4320.6,28.16,6.26,0.427,49.0
2025-02-24,Unit 1,4315.5,28.29,6.02,0.428,47.0
2025-02-24,Unit 2,4296.9,28.87,6.42,0.403,48.1
2025-02-24,Unit 3,4384.3,27.86,5.96,0.438,45.7
2025-02-25,Unit 1,4313.9,28.26,5.85,0.456,47.1
2025-02-25,Unit 2,4384.9,26.92,6.24,0.478,46.0
2025-02-25,Unit 3,4375.4,28.89,6.32,0.413,49.3
2025-02-26,Unit 1,4402.3,27.7,6.09,0.42,47.2
2025-02-26,Unit 2,4372.8,29.79,5.97,0.483,47.2
2025-02-26,Unit 3,4383.2,27.56,6.4,0.466,47.3
2025-02-27,Unit 1,4384.1,27.45,6.76,0.446,46.4
2025-02-27,Unit 2,4329.3,28.19,6.18,0.446,47.2
2025-02-27,Unit 3,4373.2,28.96,5.96,0.432,49.5
2025-02-28,Unit 1,4345.8,27.85,6.07,0.354,47.6
2025-02-28,Unit 2,4341.8,28.01,6.53,0.403,49.0
2025-02-28,Unit 3,4314.6,28.21,6.23,0.355,48.0
2025-03-01,Unit 1,4363.8,28.62,6.45,0.385,50.1
2025-03-01,Unit 2,4373.5,28.87,6.26,0.395,49.8
2025-03-01,Unit 3,4403.2,29.06,6.27,0.447,45.7
2025-03-02,Unit 1,4348.7,27.83,6.16,0.364,46.9
2025-03-02,Unit 2,4388.8,28.34,6.01,0.473,45.6
2025-03-02,Unit 3,4361.5,28.21,6.16,0.444,49.6
2025-03-03,Unit 1,4299.3,28.04,6.08,0.424,48.5
2025-03-03,Unit 2,4354.3,28.96,6.28,0.455,46.1
2025-03-03,Unit 3,4344.1,28.59,5.72,0.393,47.9
2025-03-04,Unit 1,4359.6,28.72,5.74,0.375,49.1
2025-03-04,Unit 2,4341.2,28.98,5.88,0.394,45.5
2025-03-04,Unit 3,4343.1,27.11,6.14,0.49,48.6
2025-03-05,Unit 1,4368.2,28.61,6.7,0.467,46.8
2025-03-05,Unit 2,4350.8,28.52,6.27,0.41,44.2
2025-03-05,Unit 3,4379.7,28.15,6.61,0.395,47.8
2025-03-06,Unit 1,4309.1,27.36,5.87,0.395,49.4
2025-03-06,Unit 2,4398.6,27.31,6.63,0.424,50.4
2025-03-06,Unit 3,4411.6,27.44,6.49,0.386,52.2
2025-03-07,Unit 1,4331.5,27.82,6.64,0.42,47.6
2025-03-07,Unit 2,4384.9,27.5,6.15,0.441,47.4
2025-03-07,Unit 3,4283.9,28.96,5.94,0.43,48.0
