Date,Opening Stock,Received,Consumed,Closing Stock
2025-01-01,50000.0,0,2919.53,47080.47
2025-01-02,47080.47,0,2969.24,44111.23
2025-01-03,44111.23,10731,2978.29,51863.94
2025-01-04,51863.94,0,3147.66,48716.28
2025-01-05,48716.28,0,3222.52,45493.76
2025-01-06,45493.76,12499,2841.79,55150.97
2025-01-07,55150.97,0,2954.24,52196.73
2025-01-08,52196.73,0,2926.92,49269.8
2025-01-09,49269.8,0,2649.24,46620.56
2025-01-10,46620.56,0,3092.13,43528.44
2025-01-11,43528.44,0,2832.87,40695.56
2025-01-12,40695.56,0,2723.67,37971.89
2025-01-13,37971.89,0,3032.29,34939.6
2025-01-14,34939.6,0,3070.06,31869.54
2025-01-15,31869.54,0,3106.4,28763.14
2025-01-16,28763.14,12188,2826.9,38124.24
2025-01-17,38124.24,13870,2935.09,49059.14
2025-01-18,49059.14,0,3283.15,45775.99
2025-01-19,45775.99,0,2827.43,42948.56
2025-01-20,42948.56,8197,2940.14,48205.42
2025-01-21,48205.42,0,2968.99,45236.43
2025-01-22,45236.43,0,2959.4,42277.03
2025-01-23,42277.03,0,3080.49,39196.54
2025-01-24,39196.54,0,2764.38,36432.16
2025-01-25,36432.16,0,3022.55,33409.61
2025-01-26,33409.61,0,3055.09,30354.51
2025-01-27,30354.51,0,3051.41,27303.1
2025-01-28,27303.1,0,2707.96,24595.14
2025-01-29,24595.14,0,2716.59,21878.55
2025-01-30,21878.55,0,3002.83,18875.72
2025-01-31,18875.72,0,2945.95,15929.77
2025-02-01,15929.77,0,3096.87,12832.9
2025-02-02,12832.9,0,2804.23,10028.67
2025-02-03,10028.67,0,3106.29,6922.38
2025-02-04,6922.38,8529,2725.66,12725.72
2025-02-05,12725.72,0,2884.08,9841.64
2025-02-06,9841.64,0,3109.51,6732.13
2025-02-07,6732.13,9388,2724.0,13396.13
2025-02-08,13396.13,0,3082.77,10313.36
2025-02-09,10313.36,0,3196.96,7116.4
2025-02-10,7116.4,9577,3147.33,13546.07
2025-02-11,13546.07,0,2626.24,10919.82
2025-02-12,10919.82,0,2994.55,7925.27
2025-02-13,7925.27,0,2820.09,5105.18
2025-02-14,5105.18,0,3145.26,1959.92
2025-02-15,1959.92,0,3244.87,-1284.95
2025-02-16,-1284.95,0,2887.52,-4172.47
2025-02-17,-4172.47,0,2948.76,-7121.23
2025-02-18,-7121.23,8922,2845.36,-1044.59
2025-02-19,-1044.59,0,2912.3,-3956.89
2025-02-20,-3956.89,0,2938.06,-6894.95
2025-02-21,-6894.95,0,2976.27,-9871.22
2025-02-22,-9871.22,12732,2922.82,-62.04
2025-02-23,-62.04,0,2849.29,-2911.33
2025-02-24,-2911.33,0,2942.28,-5853.6
2025-02-25,-5853.6,0,3073.74,-8927.35
2025-02-26,-8927.35,0,2963.96,-11891.31
2025-02-27,-11891.31,0,2818.9,-14710.21
2025-02-28,-14710.21,0,2922.0,-17632.21
2025-03-01,-17632.21,0,3070.46,-20702.68
2025-03-02,-20702.68,0,3042.98,-23745.66
2025-03-03,-23745.66,0,2872.62,-26618.28
2025-03-04,-26618.28,0,3101.74,-29720.03
2025-03-05,-29720.03,0,2730.69,-32450.72
2025-03-06,-32450.72,0,2972.24,-35422.96
