Date,Unit,Target SFC,Actual SFC,Target Heat Rate,Actual Heat Rate
2025-01-01,Unit 1,455,451.32,2950,2892.43
2025-01-01,Unit 2,455,456.89,2950,2997.86
2025-01-01,Unit 3,455,457.19,2950,2952.96
2025-01-02,Unit 1,455,451.64,2950,2931.45
2025-01-02,Unit 2,455,456.14,2950,2945.56
2025-01-02,Unit 3,455,456.2,2950,2939.4
2025-01-03,Unit 1,455,459.63,2950,3023.73
2025-01-03,Unit 2,455,454.49,2950,2935.61
2025-01-03,Unit 3,455,456.12,2950,2950.96
2025-01-04,Unit 1,455,458.96,2950,2959.82
2025-01-04,Unit 2,455,459.67,2950,2966.74
2025-01-04,Unit 3,455,459.0,2950,2950.18
2025-01-05,Unit 1,455,460.26,2950,2976.42
2025-01-05,Unit 2,455,449.63,2950,2917.81
2025-01-05,Unit 3,455,459.24,2950,2990.71
2025-01-06,Unit 1,455,459.07,2950,2952.48
2025-01-06,Unit 2,455,459.69,2950,2969.76
2025-01-06,Unit 3,455,461.66,2950,2979.32
2025-01-07,Unit 1,455,452.35,2950,2934.82
2025-01-07,Unit 2,455,449.98,2950,2907.66
2025-01-07,Unit 3,455,454.59,2950,2924.68
2025-01-08,Unit 1,455,451.93,2950,2920.95
2025-01-08,Unit 2,455,461.88,2950,2978.52
2025-01-08,Unit 3,455,453.79,2950,2941.94
2025-01-09,Unit 1,455,460.62,2950,3009.91
2025-01-09,Unit 2,455,451.27,2950,2882.74
2025-01-09,Unit 3,455,443.23,2950,2908.58
2025-01-10,Unit 1,455,456.65,2950,2965.47
2025-01-10,Unit 2,455,457.22,2950,2937.93
2025-01-10,Unit 3,455,464.52,2950,3004.32
2025-01-11,Unit 1,455,455.47,2950,2946.21
2025-01-11,Unit 2,455,454.73,2950,2977.32
2025-01-11,Unit 3,455,451.33,2950,2900.3
2025-01-12,Unit 1,455,450.56,2950,2920.76
2025-01-12,Unit 2,455,456.11,2950,2955.26
2025-01-12,Unit 3,455,455.31,2950,2961.89
2025-01-13,Unit 1,455,463.42,2950,3010.09
2025-01-13,Unit 2,455,452.05,2950,2906.54
2025-01-13,Unit 3,455,454.49,2950,2951.9
2025-01-14,Unit 1,455,460.6,2950,2962.0
2025-01-14,Unit 2,455,447.57,2950,2936.11
2025-01-14,Unit 3,455,457.41,2950,2947.58
2025-01-15,Unit 1,455,463.56,2950,2988.84
2025-01-15,Unit 2,455,462.41,2950,2992.68
2025-01-15,Unit 3,455,445.86,2950,2919.25
2025-01-16,Unit 1,455,449.78,2950,2891.71
2025-01-16,Unit 2,455,449.89,2950,2927.18
2025-01-16,Unit 3,455,455.83,2950,2967.18
2025-01-17,Unit 1,455,454.77,2950,2943.6
2025-01-17,Unit 2,455,456.38,2950,2934.06
2025-01-17,Unit 3,455,444.4,2950,2908.94
2025-01-18,Unit 1,455,455.05,2950,2959.84
2025-01-18,Unit 2,455,449.63,2950,2911.91
2025-01-18,Unit 3,455,455.07,2950,2957.12
2025-01-19,Unit 1,455,454.01,2950,2937.73
2025-01-19,Unit 2,455,455.95,2950,2924.16
2025-01-19,Unit 3,455,448.42,2950,2920.62
2025-01-20,Unit 1,455,457.41,2950,2954.72
2025-01-20,Unit 2,455,449.77,2950,2917.43
2025-01-20,Unit 3,455,449.36,2950,2924.38
2025-01-21,Unit 1,455,458.92,2950,2973.33
2025-01-21,Unit 2,455,456.69,2950,2949.65
2025-01-21,Unit 3,455,446.69,2950,2885.9
2025-01-22,Unit 1,455,454.93,2950,2956.34
2025-01-22,Unit 2,455,449.12,2950,2940.86
2025-01-22,Unit 3,455,456.47,2950,2993.8
2025-01-23,Unit 1,455,461.12,2950,2994.63
2025-01-23,Unit 2,455,454.25,2950,2956.9
2025-01-23,Unit 3,455,453.86,2950,2958.18
2025-01-24,Unit 1,455,441.74,2950,2857.4
2025-01-24,Unit 2,455,457.69,2950,2944.11
2025-01-24,Unit 3,455,456.91,2950,2944.48
2025-01-25,Unit 1,455,462.92,2950,2993.04
2025-01-25,Unit 2,455,446.69,2950,2912.69
2025-01-25,Unit 3,455,465.13,2950,2988.69
2025-01-26,Unit 1,455,453.45,2950,2944.92
2025-01-26,Unit 2,455,449.06,2950,2926.74
2025-01-26,Unit 3,455,458.94,2950,2983.78
2025-01-27,Unit 1,455,455.28,2950,2971.4
2025-01-27,Unit 2,455,448.13,2950,2909.09
2025-01-27,Unit 3,455,455.24,2950,2951.04
2025-01-28,Unit 1,455,455.9,2950,2953.78
2025-01-28,Unit 2,455,453.33,2950,2932.29
2025-01-28,Unit 3,455,452.69,2950,2941.49
2025-01-29,Unit 1,455,454.18,2950,2931.4
2025-01-29,Unit 2,455,455.07,2950,2952.73
2025-01-29,Unit 3,455,456.64,2950,2973.81
2025-01-30,Unit 1,455,457.64,2950,2975.46
2025-01-30,Unit 2,455,451.31,2950,2939.63
2025-01-30,Unit 3,455,455.6,2950,2925.85
2025-01-31,Unit 1,455,456.87,2950,2960.71
2025-01-31,Unit 2,455,451.88,2950,2951.84
2025-01-31,Unit 3,455,454.43,2950,2944.78
2025-02-01,Unit 1,455,462.5,2950,2986.91
2025-02-01,Unit 2,455,442.1,2950,2861.75
2025-02-01,Unit 3,455,460.77,2950,2975.53
2025-02-02,Unit 1,455,458.52,2950,2993.13
2025-02-02,Unit 2,455,460.24,2950,2996.47
2025-02-02,Unit 3,455,463.32,2950,2968.21
2025-02-03,Unit 1,455,467.45,2950,3009.61
2025-02-03,Unit 2,455,457.39,2950,2962.36
2025-02-03,Unit 3,455,459.24,2950,2957.9
2025-02-04,Unit 1,455,453.3,2950,2939.16
2025-02-04,Unit 2,455,453.51,2950,2959.17
2025-02-04,Unit 3,455,454.53,2950,2935.08
2025-02-05,Unit 1,455,451.2,2950,2954.75
2025-02-05,Unit 2,455,456.59,2950,2950.76
2025-02-05,Unit 3,455,459.97,2950,2968.92
2025-02-06,Unit 1,455,453.79,2950,2937.21
2025-02-06,Unit 2,455,458.59,2950,2983.04
2025-02-06,Unit 3,455,454.84,2950,2960.0
2025-02-07,Unit 1,455,451.06,2950,2915.43
2025-02-07,Unit 2,455,450.35,2950,2889.27
2025-02-07,Unit 3,455,460.13,2950,2987.05
2025-02-08,Unit 1,455,462.51,2950,2995.38
2025-02-08,Unit 2,455,459.36,2950,2963.68
2025-02-08,Unit 3,455,456.65,2950,2996.45
2025-02-09,Unit 1,455,448.83,2950,2931.19
2025-02-09,Unit 2,455,452.55,2950,2932.43
2025-02-09,Unit 3,455,460.32,2950,2982.79
2025-02-10,Unit 1,455,451.19,2950,2921.2
2025-02-10,Unit 2,455,454.37,2950,2965.24
2025-02-10,Unit 3,455,453.44,2950,2944.76
2025-02-11,Unit 1,455,454.43,2950,2951.6
2025-02-11,Unit 2,455,447.4,2950,2903.75
2025-02-11,Unit 3,455,444.06,2950,2917.46
2025-02-12,Unit 1,455,454.04,2950,2945.64
2025-02-12,Unit 2,455,452.05,2950,2919.25
2025-02-12,Unit 3,455,447.53,2950,2898.58
2025-02-13,Unit 1,455,449.16,2950,2930.46
2025-02-13,Unit 2,455,463.61,2950,2982.08
2025-02-13,Unit 3,455,449.78,2950,2929.61
2025-02-14,Unit 1,455,460.3,2950,2983.38
2025-02-14,Unit 2,455,466.11,2950,2995.23
2025-02-14,Unit 3,455,452.19,2950,2932.96
2025-02-15,Unit 1,455,451.74,2950,2940.58
2025-02-15,Unit 2,455,452.26,2950,2920.59
2025-02-15,Unit 3,455,449.42,2950,2942.01
2025-02-16,Unit 1,455,452.44,2950,2937.81
2025-02-16,Unit 2,455,456.53,2950,2962.38
2025-02-16,Unit 3,455,461.71,2950,2989.15
2025-02-17,Unit 1,455,456.91,2950,2941.59
2025-02-17,Unit 2,455,454.14,2950,2927.81
2025-02-17,Unit 3,455,456.61,2950,2974.57
2025-02-18,Unit 1,455,457.62,2950,2979.97
2025-02-18,Unit 2,455,461.67,2950,2989.27
2025-02-18,Unit 3,455,452.69,2950,2934.76
2025-02-19,Unit 1,455,464.03,2950,2981.59
2025-02-19,Unit 2,455,460.98,2950,2986.71
2025-02-19,Unit 3,455,450.91,2950,2954.85
2025-02-20,Unit 1,455,461.33,2950,2983.15
2025-02-20,Unit 2,455,449.98,2950,2923.93
2025-02-20,Unit 3,455,452.71,2950,2936.01
2025-02-21,Unit 1,455,452.23,2950,2942.86
2025-02-21,Unit 2,455,461.02,2950,2995.3
2025-02-21,Unit 3,455,455.12,2950,2947.61
2025-02-22,Unit 1,455,461.89,2950,2997.08
2025-02-22,Unit 2,455,455.24,2950,2956.73
2025-02-22,Unit 3,455,449.59,2950,2910.75
2025-02-23,Unit 1,455,456.07,2950,2937.08
2025-02-23,Unit 2,455,450.18,2950,2930.39
2025-02-23,Unit 3,455,457.21,2950,2965.01
2025-02-24,Unit 1,455,451.93,2950,2941.92
2025-02-24,Unit 2,455,464.32,2950,2989.73
2025-02-24,Unit 3,455,460.09,2950,2999.21
2025-02-25,Unit 1,455,457.3,2950,2965.76
2025-02-25,Unit 2,455,448.7,2950,2926.19
2025-02-25,Unit 3,455,462.78,2950,2986.89
2025-02-26,Unit 1,455,450.8,2950,2937.11
2025-02-26,Unit 2,455,454.49,2950,2945.64
2025-02-26,Unit 3,455,456.11,2950,2963.95
2025-02-27,Unit 1,455,450.95,2950,2955.56
2025-02-27,Unit 2,455,452.92,2950,2934.39
2025-02-27,Unit 3,455,451.62,2950,2929.99
2025-02-28,Unit 1,455,446.36,2950,2913.61
2025-02-28,Unit 2,455,467.4,2950,3017.66
2025-02-28,Unit 3,455,461.85,2950,2978.25
2025-03-01,Unit 1,455,451.94,2950,2946.86
2025-03-01,Unit 2,455,455.52,2950,2927.49
2025-03-01,Unit 3,455,453.64,2950,2949.96
2025-03-02,Unit 1,455,455.09,2950,2952.83
2025-03-02,Unit 2,455,456.28,2950,2971.41
