Date,Unit,Average Load (MW),Power Generation (MWh)
2025-01-01,Unit 1,81.1,1952.9
2025-01-01,Unit 2,96.53,2286.28
2025-01-01,Unit 3,90.98,2173.16
2025-01-02,Unit 1,96.58,2293.51
2025-01-02,Unit 2,78.17,1861.73
2025-01-02,Unit 3,98.25,2376.58
2025-01-03,Unit 1,96.68,2326.21
2025-01-03,Unit 2,86.81,2082.24
2025-01-03,Unit 3,88.3,2110.73
2025-01-04,Unit 1,96.8,2296.96
2025-01-04,Unit 2,92.41,2188.68
2025-01-04,Unit 3,99.9,2368.98
2025-01-05,Unit 1,100.0,2427.85
2025-01-05,Unit 2,95.19,2260.17
2025-01-05,Unit 3,98.35,2370.95
2025-01-06,Unit 1,92.0,2215.02
2025-01-06,Unit 2,82.2,1988.6
2025-01-06,Unit 3,82.88,1972.9
2025-01-07,Unit 1,89.96,2127.68
2025-01-07,Unit 2,100.0,2430.93
2025-01-07,Unit 3,83.16,1975.25
2025-01-08,Unit 1,80.53,1942.71
2025-01-08,Unit 2,86.7,2092.66
2025-01-08,Unit 3,100.0,2385.22
2025-01-09,Unit 1,80.4,1922.85
2025-01-09,Unit 2,77.85,1858.6
2025-01-09,Unit 3,87.98,2086.55
2025-01-10,Unit 1,97.78,2377.64
2025-01-10,Unit 2,99.1,2387.25
2025-01-10,Unit 3,80.76,1969.54
2025-01-11,Unit 1,94.41,2251.73
2025-01-11,Unit 2,90.1,2180.95
2025-01-11,Unit 3,75.66,1806.99
2025-01-12,Unit 1,83.4,1995.08
2025-01-12,Unit 2,78.42,1853.82
2025-01-12,Unit 3,89.85,2150.67
2025-01-13,Unit 1,90.56,2193.04
2025-01-13,Unit 2,89.11,2158.23
2025-01-13,Unit 3,94.57,2289.11
2025-01-14,Unit 1,89.08,2162.76
2025-01-14,Unit 2,90.96,2193.39
2025-01-14,Unit 3,99.43,2387.78
2025-01-15,Unit 1,90.43,2175.19
2025-01-15,Unit 2,100.0,2404.55
2025-01-15,Unit 3,93.88,2211.89
2025-01-16,Unit 1,90.61,2181.66
2025-01-16,Unit 2,80.25,1902.84
2025-01-16,Unit 3,90.19,2170.87
2025-01-17,Unit 1,80.64,1902.22
2025-01-17,Unit 2,100.0,2373.85
2025-01-17,Unit 3,91.81,2220.19
2025-01-18,Unit 1,100.0,2398.51
2025-01-18,Unit 2,100.0,2405.32
2025-01-18,Unit 3,100.0,2439.68
2025-01-19,Unit 1,92.97,2219.18
2025-01-19,Unit 2,93.16,2227.32
2025-01-19,Unit 3,75.03,1793.78
2025-01-20,Unit 1,91.32,2203.1
2025-01-20,Unit 2,81.27,1934.11
2025-01-20,Unit 3,97.71,2364.53
2025-01-21,Unit 1,91.44,2247.53
2025-01-21,Unit 2,79.27,1940.18
2025-01-21,Unit 3,98.57,2353.98
2025-01-22,Unit 1,88.47,2129.6
2025-01-22,Unit 2,100.0,2367.41
2025-01-22,Unit 3,86.42,2031.5
2025-01-23,Unit 1,99.97,2357.78
2025-01-23,Unit 2,95.77,2275.98
2025-01-23,Unit 3,87.11,2113.88
2025-01-24,Unit 1,80.07,1905.31
2025-01-24,Unit 2,97.77,2345.97
2025-01-24,Unit 3,76.96,1858.16
2025-01-25,Unit 1,87.41,2120.79
2025-01-25,Unit 2,94.33,2266.53
2025-01-25,Unit 3,93.0,2210.94
2025-01-26,Unit 1,95.06,2300.87
2025-01-26,Unit 2,93.04,2245.21
2025-01-26,Unit 3,92.17,2186.61
2025-01-27,Unit 1,79.81,1943.66
2025-01-27,Unit 2,100.0,2409.7
2025-01-27,Unit 3,100.0,2386.99
2025-01-28,Unit 1,81.97,1951.85
2025-01-28,Unit 2,81.02,1952.09
2025-01-28,Unit 3,84.9,2061.4
2025-01-29,Unit 1,72.03,1711.26
2025-01-29,Unit 2,90.36,2156.13
2025-01-29,Unit 3,86.97,2098.3
2025-01-30,Unit 1,87.04,2072.23
2025-01-30,Unit 2,90.2,2166.53
2025-01-30,Unit 3,99.67,2363.29
2025-01-31,Unit 1,100.0,2385.2
2025-01-31,Unit 2,85.66,2073.36
2025-01-31,Unit 3,83.76,2022.99
2025-02-01,Unit 1,95.14,2309.99
2025-02-01,Unit 2,91.02,2170.98
2025-02-01,Unit 3,96.29,2319.38
2025-02-02,Unit 1,90.5,2156.39
2025-02-02,Unit 2,77.73,1882.74
2025-02-02,Unit 3,85.36,2048.22
2025-02-03,Unit 1,94.57,2277.17
2025-02-03,Unit 2,86.7,2052.6
2025-02-03,Unit 3,97.62,2401.76
2025-02-04,Unit 1,100.0,2415.54
2025-02-04,Unit 2,72.12,1735.69
2025-02-04,Unit 3,77.55,1855.82
2025-02-05,Unit 1,100.0,2367.89
2025-02-05,Unit 2,87.43,2089.23
2025-02-05,Unit 3,77.64,1873.53
2025-02-06,Unit 1,98.58,2362.75
2025-02-06,Unit 2,91.58,2206.92
2025-02-06,Unit 3,92.72,2254.1
2025-02-07,Unit 1,88.8,2133.7
2025-02-07,Unit 2,84.89,2010.86
2025-02-07,Unit 3,78.88,1860.29
2025-02-08,Unit 1,80.51,1962.77
2025-02-08,Unit 2,100.0,2419.58
2025-02-08,Unit 3,97.59,2328.95
2025-02-09,Unit 1,94.0,2230.0
2025-02-09,Unit 2,100.0,2383.44
2025-02-09,Unit 3,99.8,2427.59
2025-02-10,Unit 1,100.0,2388.93
2025-02-10,Unit 2,90.27,2151.14
2025-02-10,Unit 3,100.0,2408.38
2025-02-11,Unit 1,71.32,1701.58
2025-02-11,Unit 2,80.09,1922.77
2025-02-11,Unit 3,93.59,2235.6
2025-02-12,Unit 1,92.14,2217.77
2025-02-12,Unit 2,98.69,2377.99
2025-02-12,Unit 3,85.12,2039.23
2025-02-13,Unit 1,90.39,2164.8
2025-02-13,Unit 2,85.21,2010.27
